Fund,Department,Division,Account,Amount,Annotation
General Fund,Planning & Development Dept,Planning Services Division,Fines & Fees Sign Citations,-500.0, 
General Fund,Planning & Development Dept,Planning Services Division,Fines & Fees Zoning Citations,7650.0, 
General Fund,Information Technology Dept.,Information Services,Quality of Serv Award,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Food Sales,0.0, 
General Fund,Public Works Department,Sanitation Division,Services - Advertising,15314.310000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Vending Sales,0.0, 
General Fund,Public Works Department,Sanitation Division,Services - Copying and Dupl,8868.01, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Dues & Subscriptions,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-700.6300000000001, 
General Fund,Information Technology Dept.,Information Services,Compensation - Overtime,0.0, 
General Fund,Information Technology Dept.,Information Services,Compensation - Stand By Pay,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Concessions - Beverages,34637.600000000006, 
General Fund,Administration Services Dept,Community Relations,Group Insurance Expense,977.0, 
General Fund,Information Technology Dept.,Information Services,Compensation - Full Time Reg,0.0, 
General Fund,Administration Services Dept,Community Relations,Vehicle Allowance,0.0, 
General Fund,Information Technology Dept.,Information Services,Compensation - Temp/Seasonal,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),440.21000000000004, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Pack Square Contract,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,598.6199999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,710.0299999999997, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-8722.36, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Fines & Fees Non Resid Entry,0.0, 
General Fund,Administration Services Dept,Community Relations,Employer - 401(K),-367.9599999999991, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Purchases for Resale,0.0, 
General Fund,Administration Services Dept,Community Relations,FICA Tax Expense,851.7000000000007, 
General Fund,Administration Services Dept,Community Relations,Employer - LGERS,-215.04999999999927, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Contracted Services,81282.63, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Rental/Lease - Computers,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Services - Janitorial,1755.239999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Rental/Lease,-5284.879999999997, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Services - Advertising,-41.6, 
General Fund,Administration Services Dept,Community Relations,Quality of Serv Award,-422.52, 
Stormwater Fund,Public Works Department,CAFR Preparation,Compensation - Full Time Reg,13571.91, 
General Fund,Public Works Department,Streets & Sidewalks Division,Fines & Fees Interest - Late C,0.0, 
General Fund,Information Technology Dept.,IT Administration Division,Dues & Subscriptions,-376.0, 
General Fund,Information Technology Dept.,IT Administration Division,Training,8924.630000000001, 
General Fund,Public Works Department,Sanitation Division,Services - Postage,-2779.08, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Quality of Serv Award,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Licenses Taxes & Fees,2250.05, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,-150.0, 
General Fund,Planning & Development Dept,Planning Services Division,Rents - Rental Income,-13663.839999999997, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,-200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,-532.05, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Interest Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,442.68000000000006, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,824.72, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Infrastructure,-248151.02, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Dues & Subscriptions,-596.5, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Training,-20090.83, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Quality of Serv Award,19368.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Income from Investments,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Rents - Rental Income,-46096.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,120.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Employer - LGERS,0.0, 
General Fund,Police Department,Police Administration Division,Fines & Fees Animal Control,0.0, 
General Fund,Police Department,Police Administration Division,Fines & Fees Animal Control Vi,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,173.32, 
General Fund,Police Department,Police Administration Division,Fines & Fees Noise Ordinance,-5914.19, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Employer - 401(K),0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,FICA Tax Expense,0.0, 
General Fund,Police Department,Patrol Division,Other Capital Outlay,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Land,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Overages & Shortages,0.0, 
General Fund,Administration Services Dept,Governing Body Division,Special  Events,401.0, 
General Fund,Police Department,Criminal Investigations Div,Restricted Intergov Fed Grants,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Electricity,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Cellular Usage,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Telephone,-192.0, 
General Fund,Police Department,Police Administration Division,Fines & Fees False Alarms,0.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Cost Transfers,-423725.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Safety Equipment,1730.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Other,498.3800000000001, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Uniforms,-72.44000000000005, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Materials,8134.35, 
General Fund,Public Works Department,Sanitation Division,Contra Fleet Charges,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Depreciation Expense,0.0, 
General Fund,Transportation Department,Transportation Admin Div,Dues & Subscriptions,-42.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Admission Fees,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Transfer to Debt Service Fund,0.0, 
General Fund,Transportation Department,Transportation Admin Div,Training,1566.44, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Souvenirs,-420.630000000001, 
General Fund,Finance Department,Finance Administration,Dues & Subscriptions,-595.2, 
General Fund,Finance Department,Finance Administration,Training,495.28999999999996, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,-13443.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Mach & Equipment,18925.0, 
Stormwater Fund,Public Works Department,CAFR Preparation,Infrastructure,649518.78, 
General Fund,Building Safety Department,Permitting & Inspections Div,Permit Housing Repair 3+ unit,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Permit Housing Repair Electric,75.0, 
General Fund,Administration Services Dept,City Manager,Workers Compensation,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Bldg Permits & Insp Electrical,-5003.109999999986, 
General Fund,Administration Services Dept,City Manager,Unemployment,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Permit Housing Repair 1-2 unit,-465.0, 
General Fund,Administration Services Dept,City Manager,Vehicle Allowance,-33.95999999999913, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Contra Salaries and Wages FEMA,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Plan Review Fees,11550.029999999999, 
General Fund,Police Department,Police Support Division,Impoundment Fees,-880.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Permit Housing Rep mechanical,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Other Miscellaneous Revenue,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Permit Housing Repair Plumbing,150.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,WNC Air Quality Fee 3%,0.0, 
General Fund,Transportation Department,Transportation Planning Div,Mach & Equipment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Purchases for Resale,0.0, 
General Fund,Finance Department,Purchasing Central Stores,Supplies - Uniforms,194.39999999999998, 
General Fund,Administration Services Dept,City Manager,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mach & Equipment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,-199.24, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Concessions - Food & Bev,-7404.71, 
General Fund,Planning & Development Dept,Community Development Division,Contracted Services,-5647.13, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Vending Sales,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Annualized Maintenance Fees,-500.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Restricted Intergov Fed Grants,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Souvenirs,23136.61, 
General Fund,Building Safety Department,Permitting & Inspections Div,Bldg Permits & Insp Technology,0.0, 
General Fund,Information Technology Dept.,Information Services,Contracted Services,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Services - Advertising,204.5, 
General Fund,Building Safety Department,Permitting & Inspections Div,Bldg Per - Addressing Fees,60.0, 
General Fund,Administration Services Dept,City Manager,FICA Tax Expense,2555.709999999999, 
General Fund,Information Technology Dept.,Information Services,Professional Services,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Services - Copying and Dupl,7.0, 
General Fund,Transportation Department,Transportation Planning Div,Supplies - Other,0.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Transfer to Grant Fund,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Rental/Lease - Computers,53.00999999999999, 
General Fund,Public Works Department,Engineering Services Division,Telephone,-288.0, 
General Fund,Planning & Development Dept,Community Development Division,Rental/Lease,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Uniforms,-1039.15, 
General Fund,Public Works Department,Engineering Services Division,Radio Charges,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Professional Services,0.0, 
General Fund,Information Technology Dept.,Information Services,Services - Advertising,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Safety Equipment,1766.0, 
General Fund,Public Works Department,Engineering Services Division,Cellular Usage,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Transfer to Street Cut Utility,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Board of Adjustments,0.0, 
General Fund,Administration Services Dept,City Manager,Employer - 457,62.2800000000002, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Other,-853.56, 
General Fund,Information Technology Dept.,Information Services,Services - Copying and Dupl,0.0, 
General Fund,Information Technology Dept.,Information Services,Rental/Lease - Computers,0.0, 
General Fund,Administration Services Dept,City Manager,Employer - 401(K),-3924.5699999999997, 
General Fund,Administration Services Dept,City Manager,Employer - LGERS,457.15999999999985, 
